i	Close front unrounded vowel
y	Close front rounded vowel
ɪ	Near-close near-front unrounded vowel
ʏ	Near-close near-front rounded vowel
ɨ	Close central unrounded vowel
ʉ	Close central rounded vowel
e	Close-mid front unrounded vowel
ø	Close-mid front rounded vowel
ɛ	Open-mid front unrounded vowel
œ	Open-mid front rounded vowel
ɘ	Close-mid central unrounded vowel
ɵ	Close-mid central rounded vowel
ə	Mid central vowel
æ	Near-open front unrounded vowel
a	Open front unrounded vowel
ɶ	Open front rounded vowel
ɜ	Open-mid central unrounded vowel
ɞ	Open-mid central rounded vowel
ɐ	Near-open central vowel
ɯ	Close back unrounded vowel
o	Close-mid back rounded vowel
ɤ	Close-mid back unrounded vowel
u	Close back rounded vowel
ɔ	Open-mid back rounded vowel
ʌ	Open-mid back unrounded vowel
ʊ	Near-close near-back rounded vowel
ɒ	Open back rounded vowel
ɑ	Open back unrounded vowel
ɚ	Mid central vowel with rhoticity
ɝ	Open-mid central unrounded vowel with rhoticity
̏	Extra low
̄	Mid
̀	Low
̋	Extra high
́	High
˥	Extra high
˨	Low
˦	High
˩	Extra low
˧	Mid
̌	Rising
̂	Falling
↑	Upstep (ExtIPA: egressive airflow)
↘	Global fall
↗	Global rise
↓	Downstep (ExtIPA: ingressive airflow)
ː	Long
ˑ	Half-long
ˈ	Primary stress
ˌ	Secondary stress
̆	Extra-short
̮	Extra-short
p	Voiceless bilabial plosive
b	Voiced bilabial plosive
m	Voiced bilabial nasal
ʙ	Voiced bilabial trill
ɱ	Voiced labiodental nasal
r	Voiced alveolar trill
n	Voiced alveolar nasal
t	Voiceless alveolar plosive
d	Voiced alveolar plosive
ʈ	Voiceless retroflex plosive
ɖ	Voiced retroflex plosive
ɳ	Voiced retroflex nasal
c	Voiceless palatal plosive
ɟ	Voiced palatal plosive
k	Voiceless velar plosive
ɡ	Voiced velar plosive
ɾ	Voiced alveolar flap
ɽ	Voiced retroflex flap
q	Voiceless uvular plosive
ɢ	Voiced uvular plosive
ʔ	Voiceless glottal plosive
β	Voiced bilabial fricative
f	Voiceless labiodental fricative
v	Voiced labiodental fricative
s	Voiceless alveolar fricative
ɸ	Voiceless bilabial fricative
z	Voiced alveolar fricative
ð	Voiced dental fricative
θ	Voiceless dental fricative
ʃ	Voiceless postalveolar fricative
ʒ	Voiced postalveolar fricative
ʝ	Voiceless palatal fricative
ç	Voiceless palatal fricative
ħ	Voiceless pharyngeal fricative
χ	Voiceless uvular fricative
ʂ	Voiceless retroflex fricative
ʁ	Voiced uvular fricative
ʕ	Voiced pharyngeal fricative
ʐ	Voiced retroflex fricative
ɣ	Voiced velar fricative
x	Voiceless velar fricative
ʀ	Voiced uvular trill
h	Voiceless glottal fricative
ɦ	Voiced glottal fricative
ɬ	Voiceless alveolar lateral fricative
ɮ	Voiced alveolar lateral fricative
ʋ	Voiced labiodental approximant
ɻ	Voiced retroflex approximant
ɹ	Voiced alveolar approximant
j	Voiced palatal approximant
ɰ	Voiced velar approximant
l	Voiced alveolar lateral approximant
ɭ	Voiced retroflex lateral approximant
ʎ	Voiced palatal lateral approximant
ʟ	Voiced velar lateral approximant
ɫ	Voiced velarized/pharyngealized alveolar lateral approximant
ŋ	Voiced velar nasal
ɴ	Voiced uvular nasal
ɲ	Voiced palatal nasal
̹	More rounded
͗	More rounded
̜	Less rounded
͑	Less rounded
̥	Voiceless
̊	Voiceless
̬	Voiced
̟	Advanced
̈	Centralized
̽	Mid-centralized
͓	Mid-centralized
̯	Non-syllabic
̑	Non-syllabic
̩	Syllabic
̍	Syllabic
̠	Retracted
̰	Creaky voiced
̼	Linguolabial
̝	Raised
˔	Raised
̞	Lowered
˕	Lowered
̘	Advanced tongue root
̙	Retracted tongue root
̪	Dental
̺	Apical
̻	Laminal
ʩ	Velopharyngeal fricative
