a	àáâãäåæǣǽāăąǎǟǡǻȁȃɐаӑӓӕḁẚạảấầẩẫậắằẳẵặ⒜ⓐａ
b	ƀƃɓḃḅḇ⒝ⓑｂ
c	çćĉċčƈɕʗḉ⒞ⓒｃ
d	ďđƌɖɗḋḍḏḑḓ⒟ⓓｄ
e	èéêëēĕėęěǝȅȇɘɛɜɝɞʚḕḗḙḛḝẹẻẽếềểễệℯ⒠ⓔｅ
f	ƒḟ⒡ﬀﬁﬃｆ
g	ĝğġģǥǧǵɠɡḡℊ⒢ⓖ㎍ｇ
h	ĥħɥɦʰʱḣḥḧḩḫẖ⒣ⓗｈ
i	ìíîïĩīĭįıǐȉȋɨіḭḯỉị⒤ⓘｉ
j	ĵǰɟʄʝʲ⒥ⓙｊ
k	ķƙǩʞḱḳḵ⒦ⓚ
l	ĺļľŀłƚǈɫɬɭˡḷḹḻḽℓ℔⒧ⓛｌ
m	ɯɰɱḿṁṃ⒨ⓜ㎛㎜㎡㎥㎧㎨ｍ
n	ñńņňŉƞɲɳṅṇṉⁿ⒩ⓝｎ
o	òóôõöøœɶōŏőơǒǫǭǿȍȏɔɵṍṏṑṓọỏốồổỗộớờởỡợℴ⒪ⓞｏ
p	ƥṕṗ⒫ⓟｐ
q	ʠ⒬ⓠｑ
r	ŕŗřȑȓɹɺɻɼɽɾɿʳʴʵṙṛṝṟ⒭ⓡｒ
s	śŝşšßſʂˢṡṣṥṧṩẛ∾⒮ⓢﬅｓ
t	ţťŧƫƭʇʈṫṭṯṱẗ⒯ⓣｔ
u	ùúûüũūŭůűųưǔǖǘǚǜȕȗʉṳṵṷṹṻụủứừửữự⒰ⓤｕ
v	ʋʌ⒱ⓥｖ
w	ŵʍʷẁẃẅẇẉẘ⒲ⓦｗ
x	ˣ̽ẋẍ⌧⒳ⓧ☒✕✖✗✘❖ｘ
y	ýÿŷƴʎʸẏẙỳỵỷỹ⒴ⓨｙ
z	źżžƶʐʑẑẓẕ⒵ⓩｚ
